"School Name","Address","City","State","Zip","First","Last","Area Code","Phone","Email","County","Type"
"Foxfire High School","2805 Pinkerton Lane","Zanesville","OH","43702","Todd","Whiteman","740","4534509","twhiteman@laca.org","Muskingum","High School"
"Southwest Licking Digital Acad","927-A","Pataskala","OH","43062","Robert","Jennell","740","9273941","rjennell@laca.org","Licking","High School"
"Massillon Digital Academy, Inc","930 17th St NE","Massillon","OH","44646","Jennifer","Fischer","330","8303900","jfischer@massillonschools.org","Stark","High School"
"London Academy","40 S Walnut St","London","OH","43140","Pauline","Swan","740","8525703","pauline.swan@london.k12.oh.us","Madison","High School"
"Pleasant Community Digital","1107 Owens Rd W","Marion","OH","43302","John","Bruno","740","3894476","john.bruno@pleasantstaff.org","Marion","High School"
"Cardington Lincoln Local Digital Academy","349 Chesterville Ave","Cardington","OH","43315",,,"419","8644566",,"Morrow","High School"
"Lorain High School Digital","1800 West 40th Street","Lorain","OH","44053","Thomas","Tucker","440","2824087","ttucker@lorain.k12.oh.us","Lorain","Ungraded"
"Ridgedale Community School","3103 Hillman Ford Rd","Morral","OH","43337","Robert","Britton","740","3826065","rbritton@ridgedaleschools.org","Marion","High School"
"West Central Learning Academy II","522 W North St","Lima","OH","45801","Connie","Houser","419","2279252","connie@wcla.cs.k12.oh.us","Allen","High School"
"Lake Erie International High School","11650 Detroit Ave","Cleveland","OH","44102","John","Stack","216","5397229","John.Stack@cambridgegrp.org","Cuyahoga","High School"
"Life Skills Center Of Summit County","2168 Romig Rd","Akron","OH","44320","Patricia","Marxen","330","7453678","Patti.Marxen@whitehatmgmt.com","Summit","High School"
"Life Skills Of Northeast Ohio","12201 Larchmere Blvd","Cleveland","OH","44120","Patricia","Marxen","216","4217587","Patti.Marxen@whitehatmgmt.com","Cuyahoga","High School"
"Lakewood Digital Academy","PO Box 70","Hebron","OH","43025","Jay","Gault","740","9285878","jgault@laca.org","Licking","High School"

