"District","School Name","Principals Name","Email","Address","City","State","Zip","Phone","Fax","Grade"
"Orleans Parish","Royal Castle Child Development Center","Pearlie B. Harris ","royalcastlekids@aol.com","3800 Eagle Street","New Orleans              ","LA","70118","5044881045","5044881465","PK4"
"St. Tammany Parish","Montessori Christian Academy, LLC","Mary  Collignon ","peggy@montessorichristianacademy.net","4441 Iberville Street","Mandeville               ","LA","70471","9856742720","9856742730","PK3,PK4"
"East Baton Rouge Parish","Jehovah-Jireh Christian Academy","Glenda A. Colbert ","ntjohnson74@gmail.com","1771 North Lobdell Blvd.","Baton Rouge              ","LA","70806","2259322357","2259322360","PK4,K-12"
"East Baton Rouge Parish","Family Christian Academy","Dave  Smith ","heatherc@jsm.org","P. O. Box 262550","Baton Rouge              ","LA","70826","2257683026","2257683213","K-12"
"Jefferson Parish","Memorial Baptist School","E. Jerry  Riggs ","arose@mbcmetairie.org","5701 Veterans Memorial Boulevard","Metairie                 ","LA","70003","5048870533","5048870610","PK4,K-4"
"St. Charles Parish","Boutte Christian Academy (AG)","Linda R. Davis ","bcaelem@yahoo.com","13271 Highway 90","Boutte                   ","LA","70039","9857852447","9857856641","PK4,K-8"
"East Baton Rouge Parish","Gardere Community Christian School","Nancy L. Zito ","nancyzito@gardereschool.com","5261 Highland Road #327","Baton Rouge              ","LA","70808","2253875082","2253875083","K-5"
"Allen Parish","Indian Bible Academy","John A. Cernak ","Indian-Bible@juno.com","152 Indian Church Road","Elton                    ","LA","70532","3375845151","          ","1-12"
"East Baton Rouge Parish","Parkview Baptist School","Dr. Don  Mayes ","don.mayes@parkviewbaptist.com","5750 Parkview Church Road","Baton Rouge              ","LA","70816","2252912500","2252934135","PK3,PK4,K-12"
"St. Tammany Parish","Northlake Christian High School","Monty  Fontenot ","mfontenot@northlakechristian.org","70104 Wolverine Drive","Covington                ","LA","70433","9856350400","9858922632","7-12"
"St. Tammany Parish","Northlake Christian Elementary School","Missie  Arnold ","chaindel@northlakechristian.org","70104 Wolverine Drive","Covington                ","LA","70433","9856350400","9858922632","K-6"
"Livingston Parish","Community Christian Academy","Joyce L. Wilson ","cca@iol27.com","400 River Road North","Denham Springs           ","LA","70726","2256655696","2256653098","PK3,PK4,K-12"
"Rapides Parish","Louisiana College Academy of Accelerated Studies","Dr. Anna  Nguyen ","nguyen@lacollege.edu","1405 Military Highway","Pineville                ","LA","71360","3184877303","3184877188","11-12"
"Iberia Parish","Assembly Christian School (AG)","Rev.Armand  Prentiss III","armand@accni.com","4219 East Admiral Doyle","New Iberia               ","LA","70560","3373644340","3373648310","PK3,PK4,K-12"
"St. Tammany Parish","Christ Episcopal School","John  Morvant ","pam@christepiscopalschool.org","80 Christwood Boulevard","Covington                ","LA","70433","9858929156","9858711626","PK3,PK4,K-12"
"Jefferson Parish","Victory Christian Academy (AG)","Michelle  Nichols ","info@victorychristianacademy.net","5708 Airline Hwy.","Metairie                 ","LA","70003","5047335087","5047343381","PK3,PK4,K-8"
"Orleans Parish","Calvary Baptist School","Carol L. Spears ","cspears@mycalvaryeagles.com","2401 General DeGaulle Drive","New Orleans              ","LA","70114","5043676465","5043676632","PK3,PK4,K-7"
"Caddo Parish","Calvary Baptist Academy","Kenneth N. Kruithof ","rhonea@calvaryshreveport.org","9333 Linwood Avenue","Shreveport               ","LA","71106","3186874923","3186874925","K-12"
"Tangipahoa Parish","Trafton Academy","Susan B. Day ","traftonoffice@i-55.com","P.O. Drawer 2845","Hammond                  ","LA","70404","9855427212","9855427213","PK4,K-8"
"East Baton Rouge Parish","Country Day School of Baton Rouge","Carla K. Schild ","cdsofBR@hotmail.com","4455 North Boulevard","Baton Rouge              ","LA","70806","2259284042","2259284044","K-5"
"St. Landry Parish","Westminster Christian Academy","Merida  Brooks ","tlanclos@wcala.org","186 Westminster Dr.","Opelousas                ","LA","70570","3379488607","3379488983","1-12"
"Lafayette Parish","First Baptist Christian School","Susan  Emerson ","susan.emerson@fbcslafayette.com","201 West Convent","Lafayette                ","LA","70501","3372371546","3372379970","PK3,PK4,K-8"
"Orleans Parish","St. Andrew's Episcopal School","Mason  Lecky ","office@standrewsepiscopalschool.org","8012 Oak Street","New Orleans              ","LA","70118","5048613743","5048613973","PK4,K-8"
"Calcasieu Parish","Hamilton Christian Academy","Ray  Shawa Jr.","tsensley@hcawarriors.org","1415 Eighth Street","Lake Charles             ","LA","70601","3374391178","3374941928","PK4,K-12"
"City of Baker","Bethany Christian School","Carolyn  DeSalvo ","carolyn.desalvo@bethany.com","13855 Plank Road","Baker                    ","LA","70714","2257740133","2257740163","K-12"
"Claiborne Parish","Mt. Olive Christian School (B)","Linda Lee Gantt ","ganttatmountolivechristianschool@yahoo.com","15349 Hwy. 9","Athens                   ","LA","71003","3182585661","3182585662","PK4,K-12"
"St. Tammany Parish","Cedarwood School","Kathryn  Leblanc ","kleblanc@cedarwoodschool.com","607 Heavens Drive","Mandeville               ","LA","70471","9858457111","9858450669","PK3,PK4,K-7"
"Orleans Parish","Bishop McManus School","Toni-Lynn O. Tyson PhD","ttyson@citychurchno.com","13123 I-10 Service Road","New Orleans              ","LA","70128","5042465121","5042465564","PK3,PK4,K-12"
"Ouachita Parish","Northeast Baptist School","Anita E. Watson ","awatson@mynbs.org","5225 I-20 Service Rd.","West Monroe              ","LA","71292","3183252077","3189980193","PK3,PK4,K-12"
"Jefferson Parish","Torah Academy (J)","David  Kaufmann PhD","Dybkaufmann@gmail.com","5210 W Esplanade Avenue","Metairie                 ","LA","70006","5044566429","5048887558","PK4,K-8"
"Rapides Parish","Grace Christian School (P)","Kay  Blackburn ","kay4949@aol.com","4900 Jackson Street","Alexandria               ","LA","71303","3184458735","3184431034","PK4,K-12"
"Ouachita Parish","Claiborne Christian School (CG)","Amy  Brooks ","fullydevotedfamily@yahoo.com","320 Laird Street","West Monroe              ","LA","71291","3183967968","3183970567","PK4,K-12"
"Jefferson Parish","Community Day School","Robert J. Berk PhD","bberk@nojds.com","3747 West Esplanade Avenue","Metairie                 ","LA","70002","5048874091","5047805691","K-5"
"Iberia Parish","Highland Baptist Christian School","Janie C. Lamothe ","jlamothe@hbcsni.org","708 Angers Street","New Iberia               ","LA","70563","3373642273","3373696303","PK4,K-12"
"Orleans Parish","New Orleans Adventist Academy","Sydney  Peart ","sydneypeart@yahoo.com","4500 Gawain Drive","New Orleans              ","LA","70127","5042402227","5042402692","K-8"
"East Baton Rouge Parish","Louisiana New School Academy","Valeria T. Thompson ","valisetinsel@yahoo.com","1900 North Blvd., Suite C","Baton Rouge              ","LA","70806","2253817238","2253818408","4-12"
"City of Monroe","Quest School","Donna P. Underwood ","dpu@olympi.com","2401 Oliver Road","Monroe                   ","LA","71201","3183226000","3183231200","2-8"
"East Baton Rouge Parish","Brighter Horizon School of Baton Rouge","Nabila S. Qasem ","principal@brighterhorizon.net","1896 Wooddale Boulevard","Baton Rouge              ","LA","70806","2259272521","2255907786","PK3,PK4,K-12"
"Acadia Parish","Northside Christian School (AG)","Randell James Trahan ","northsidechristian@cox-internet.com","809 East Northern Avenue","Crowley                  ","LA","70526","3377833620","3377883461","8-12"
"Terrebonne Parish","Houma Christian School","James  Champagne ","hcs@triparish.net","109 Valhi Blvd.","Houma                    ","LA","70360","9858517423","9858724958","K-12"
"Jefferson Davis Parish","Bethel Christian School (B)","Patricia  Landers ","pglanders55@gmail.com","15147 Highway 102","Jennings                 ","LA","70546","3378240020","3378240579","1-12"
"Orleans Parish","The Chartwell Center","Alice Gwynne Bowman ","chartwell@chartwellcenter.org","4239 Camp Street","New Orleans              ","LA","70115","5048992478","5048992416","NG"
"Orleans Parish","Life of Christ Christian Academy/Alternative","Cheryl Leufroy Frilot ","lccasoaringeagles@yahoo.com","1851 North Dorgenois St.","New Orleans              ","LA","70119","5049455778","5049455778","PK4,K-12"
"Ascension Parish","Faith Academy","Carol  Vaughn ","cvaughn@faithacademycrusaders.com","10473 Airline Highway","Gonzales                 ","LA","70737","2256443110","2256472368","PK4,K-8"
"Ascension Parish","Ascension Christian High School","Mark S. Pellegrin ","mpellegrin@achslions.com","14408 EA Academy Road","Gonzales                 ","LA","70737","2256222800","2256222875","8-12"
"St. Tammany Parish","First Baptist Christian School","Mona  Nelson ","mona.nelson@fbcslidell.org","4141 Pontchartrain Dr.","Slidell                  ","LA","70458","9856433725","9856419205","1-12"
"Orleans Parish","The Upperroom Bible Church Academy","Dr. Eric Jones ","upper9060@aol.com","8600 Lake Forest Blvd.","New Orleans              ","LA","70127","5042459060","5042463071","PK4,K-8"
"St. Tammany Parish","The Upperroom Bible Church Preschool & Academy","Kevin  Wingate ","upper9060@aol.com","8600 Lake Forest Boulevard","New Orleans              ","LA","70127","9856439060","9856439101","PK4,K-2"
"City of Bogalusa","Ben's Ford Christian School (B)","Donna  Blackwell ","donnablackwell@gotsky.com","59253 Mt. Pleasant Road #2","Bogalusa                 ","LA","70427","9857350387","9857350382","PK4,K-12"
"Caddo Parish","Montessori School for Shreveport","Heidi  Cooper ","mssadmit@comcast.net","2605 C.E. Galloway Blvd","Shreveport               ","LA","71104","3188616777","3188655793","PK3,PK4,K-8"
"St. Landry Parish","Good Shepherd Montessori School","Karleen J. Wyble ","goodshepherdmont@bellsouth.net","P.O. Box 547","Port Barre               ","LA","70577","3375859914","3375859913","PK4,K"
"East Baton Rouge Parish","La Printaniere Montessori","Suzanne D. Bassett ","laprintanieremon@bellsouth.net","5064 Perkins Road","Baton Rouge              ","LA","70808","2257692255","2257692255","PK3,PK4,K-5"
"Rapides Parish","Montessori Educational Center","Joelle  Flaherty ","joelle_flaherty@suddenlinkmail.com","4209 N Bolton Avenue","Alexandria               ","LA","71303","3184450138","3184450165","PK3,PK4,K-6"
"East Baton Rouge Parish","Montessori School of Baton Rouge","Molly  Williams ","montessorischoolofbr@gmail.com","8227 Wimbledon Avenue","Baton Rouge              ","LA","70810","2257669942","          ","PK4,K"
"Calcasieu Parish","Little Learners Montessori School","Angela G. Dupuis ","angie@llmontessori.com","73 Center Circle","Sulphur                  ","LA","70663","3376259357","3376259357","PK4,K"
"Lincoln Parish","Wildflower Montessori School","Angie  Borden ","wildflowermontes@bellsouth.net","700 W Woodward Avenue","Ruston                   ","LA","71270","3182511590","          ","PK3,PK4,K-8"
"Orleans Parish","University Montessori School","Teddi  Locke ","umsno@bellsouth.net","7508 Burthe Street","New Orleans              ","LA","70118","5048651659","5048659194","PK4"
"St. Tammany Parish","Covington Montessori School","Dr.  Carter ","covingtonmontessori@gmail.com","116 N Monroe Street","Covington                ","LA","70433","9858930676","0000000000","PK3,PK4,K"
"Tangipahoa Parish","Oaks Montessori School","Teri S. Bickham ","teri@montessori.net","43283 South Range Road","Hammond                  ","LA","70403","9853458088","9854190588","PK3,PK4,K-6"
"Jefferson Parish","Stepping Stones Montessori School","Amber A. Trepagnier ","ssmnav36@aol.com","552 Terry Parkway","Gretna                   ","LA","70056","5043620513","          ","PK3,PK4,K"
"St. Tammany Parish","Northminster Montessori Preschool (P)","Sue  Dorion ","northminster@att.net","63140 N Military Road","Pearl River              ","LA","70452","9858630800","9858630160","PK3,PK4,K"
"Lafayette Parish","Lafayette Christian Academy","Dan  Savoie ","dsavoie@lafayettechristianacademy.com","220 Portland Avenue","Lafayette                ","LA","70507","3372349860","3372333555","8-12"
"East Baton Rouge Parish","Riverdale Christian Academy","Todd  Whirley ","Todd@riverdalechristianacademy.org","2791 Oneal Lane","Baton Rouge              ","LA","70816","2257536722","2257514341","6-12"
"Orleans Parish","Light City Christian Academy","Zella T. Markey ","zmbrain@yahoo.com","6117 St. Claude Avenue","New Orleans              ","LA","70117","5042776828","5042770036","K-12"
"Zachary Community","Trinity Christian Academy","Veronica  Watson ","watson@trinitychristianacademy-zachary.com","4315D Church Street","Zachary                  ","LA","70791","2256544964","2256544942","4-12"
"Union Parish","Union Christian Academy","Bill  Ritz ","kay.hicks@unionchristianacademy.org","110 West Hill Street","Farmerville              ","LA","71241","3183688890","3183682920","PK3,PK4,K-12"
"Jefferson Parish","Knights Academy and High School","Shouna  Catanese ","knightsacademy@cox.net","2059 Bonn Street","Harvey                   ","LA","70058","5043288223","5043288466","1-12"
"Orleans Parish","Ecole Bilingue de la Nouvelle-Orleans","Pauline  Dides ","info@ebnola.com","821 General Pershing Street","New Orleans              ","LA","70115","5048964500","5048969610","PK4,K-7"
"Jefferson Parish","Islamic School of Greater New Orleans","Fouzia  Khan ","adminisgno2008@gmail.com","2420 Illinois Avenue","Kenner                   ","LA","70062","5044664055","5044664830","PK3,PK4,K-8"
"East Baton Rouge Parish","Shiloh Baptist Early Learning Academy","Eula  Smith ","evercher@bellsouth.net","185 Eddie Robinson Drive","Baton Rouge              ","LA","70802","2253434734","2253468065","PK3,PK4,K-1"
"Jefferson Parish","Faith Christian Academy","Mary  Jackson ","faithchristianacademy504@yahoo.com","6216 Sixth Avenue","Marrero                  ","LA","70072","5043402894","5043400920","PK4,K-6"
"Orleans Parish","Odyssey House Academy","Jerry  Estopinal ","jestopinal@ohlinc.org","4730 Washington Avenue","New Orleans              ","LA","70125","5043248288","5043249765","6-12"
"Rapides Parish","Youth Challenge Program-Camp Beauregard","CPT Kenneth  Paul ","kenneth.paul1@us.army.mil","505 F Street, Camp Beauregard","Pineville                ","LA","71360","3186415805","3186413313","11"
"Iberville Parish","Youth Challenge Program-Gillis Long","Louis  Joseph ","louis.joseph@us.army.mil","5445 Point Clair Road Bldg 19","Carville                 ","LA","70721","2253194624","2253194645","11"
"Webster Parish","Youth Challenge Program-Camp Minden","Myron  Turner CW3","starla.d.townsend@us.army.mil","200 Louisiana Blvd","Minden                   ","LA","71055","3183824101","3183824129","11"
"Rapides Parish","Red River Academy","Elvin  McCann ","principal@redriveracademy.net","P.O. Box 1255","Lecompte                 ","LA","71346","3187765655","3187765654","7-12"

