"Schools Name","Address","Address2 ","City","City 2","Zip","Zip 2","Area","Title","Principal","First","Last","Email","Phone","Fax","Grades"
"Holy Angels Elementary School","130 EAST TENTH ST","130 EAST TENTH ST","TRAVERSE CITY","TRAVERSE CITY","49684-3206","49684-3206","Traverse City","Mrs.","Janet Troppman","Janet","Troppman","jtropp@gtacs.org","2319465961","2319461878","KG-Part, 1-2, GenEd, PK"
"Holy Cross Catholic School","618 SOUTH WATER ST","618 SOUTH WATER ST","MARINE CITY","MARINE CITY","48039-3601","48039-3601","East China","Ms.","Marilynn Pavlov","Marilynn","Pavlov","principal@holycrossonline.net","8107653591","8107659074","KG-Part,1-8, GenEd, PK"
"Holy Cross Lutheran School","610 COURT ST","610 COURT ST","SAGINAW","SAGINAW","48602-4249","48602-4249","Saginaw","Mr.","Roger Wolter","Roger","Wolter","roger.wolter@hcls.org","9897939795","9897937441","KG-Part, 1-8, GenEd, PK"
"Holy Family Regional School","2633 JOHN R RD","2633 JOHN R RD","ROCHESTER HILLS","ROCHESTER HILLS","48307-4652","48307-4652","Rochester","Mr.","Jon Myers","Jon","Myers","jonmyers64@comcast.net","2482993798","2486700320","KG,KG-Part,1-8, GenEd, PK"
"Holy Family School","411 WILKINSON ST","411 WILKINSON ST","EAST TAWAS","EAST TAWAS","48730-1130","48730-1130","Tawas","Ms.","Linda Howe","Linda","Howe","howel@charterinternet.com","9893625651","9893629077","KG-Part, 1-6, GenEd, PK"
"Holy Family School","215 ORCHARD ST","215 ORCHARD ST","GRAND BLANC","GRAND BLANC","48439-1374","48439-1374","Grand Blanc","Ms.","Michele Jahn","Michele","Jahn","mjahn@hfsgb.org","8106949072","8106949405","KG-Part, 1-8, GenEd, PK"
"Holy Ghost Lutheran School","3563 HEISS RD","3563 HEISS RD","MONROE","MONROE","48162-9458","48162-9458","Monroe","Mr.","Eric Heins","Eric","Heins","eheins@charter.net","7342420509","7342422701","KG-Part, 1-8, GenEd, PK"
"Holy Name School","680 HARMON ST","680 HARMON ST","BIRMINGHAM","BIRMINGHAM","48009-1328","48009-1328","Birmingham","Mrs.","Mary Ann Grady","Mary Ann","Grady","annice@hnchurch.org","2486442722","2486441191","KG-Part, 1-8, GenEd, PK"
"Holy Name School","409 SOUTH 22ND ST","409 SOUTH 22ND ST","ESCANABA","ESCANABA","49829-2242","49829-2242","Escanaba","Mr.","Joseph Carlson","Joseph","Carlson","JCARLSON@HOLYNAMECRUSADERS.COM","9067867550","9067867582","KG-Part, 1-8, GenEd, PK"
"Holy Redeemer Elementary School","1711 JUNCTION ST","1711 JUNCTION ST","DETROIT","DETROIT","48209-2109","48209-2109","Detroit","Mr.","John Kiley","John","Kiley","john_kiley06@yahoo.com","3138415230",,"KG-Part, 1-8, GenEd"
"Holy Rosary School","5191 RICHFIELD RD","5191 RICHFIELD RD","FLINT","FLINT","48506-2114","48506-2114","Kearsley","Mrs.","Deborah Hodges","Deborah","Hodges","ddhodge81@comcast.net","8107364220","8107369129","KG-Part, 1-8, GenEd"
"Holy Spirit Central School","201 SAGINAW ST","201 SAGINAW ST","NORWAY","NORWAY","49870-1135","49870-1135","Norway-Vulcan","Ms.","Elizabeth Stack","Elizabeth","Stack","ebieannstack@yahoo.com","9065638817","9065638854","KG-Part, 1-8, GenEd, PK"
"Holy Spirit Roman Catholic School","9565 MUSCH RD","9565 MUSCH RD","BRIGHTON","BRIGHTON","48116-8841","48116-8841","Brighton","Ms.","Anna Piccirillo","Anna","Piccirillo","piccira@holyspiritbrighton.com","8102319199","8102316129","KG-Part, 1-8, GenEd, PK"
"Holy Spirit School","2222 LAKE MICHIGAN DR NW","2222 LAKE MICHIGAN DR NW","GRAND RAPIDS","GRAND RAPIDS","49504-5965","49504-5965","Grand Rapids","Ms.","Sharon Grant","Sharon","Grant","s_grant@hsparish.com","6164532772","6164530018","KG-Part, 1-8, GenEd, PK"
"Holy Trinity Catholic School","1304 ALPINE CHURCH RD NW","1304 ALPINE CHURCH RD NW","COMSTOCK PARK","COMSTOCK PARK","49321-9703","49321-9703","Kenowa Hills","Mrs.","Kathy Rand","Kathy","Rand","holytrinitycp@comcast.net","6167840696","6167102116","KG-Part, 1-8, GenEd, PK"
"Holy Trinity Ev Lutheran School","4201 BURLINGAME AVE SW","4201 BURLINGAME AVE SW","WYOMING","WYOMING","49509-3726","49509-3726","Wyoming","Mr.","Larry Sellnow","Larry","Sellnow","lsellnow@juno.com","6165381122","6165381122","KG-Part, 1-8, GenEd, PK"
"Holy Trinity School","1004 SOUTH WENONA ST","1004 SOUTH WENONA ST","BAY CITY","BAY CITY","48706-5072","48706-5072","Bay City","Ms.","Terrie De Waele","Terrie","De Waele","tdewaele@bacschools.org","9898923018","9898920793","KG-Part, 1-5, GenEd, PK"
"Hope Protestant Reformed Christian School","1545 WILSON AVE SW","1545 WILSON AVE SW","GRAND RAPIDS","GRAND RAPIDS","49534-6522","49534-6522","Grandville","Mr.","Ronald Koole","Ronald","Koole","hopeprcs@juno.com","6164539717","6164539907","KG-Part, 1-9, GenEd"
"Howardsville Christian School","53441 BENT RD","53441 BENT RD","MARCELLUS","MARCELLUS","49067-9447","49067-9447","Three Rivers","Mr.","Kenneth Ric Gilson","Kenneth Ric","Gilson","rgilson@hcseagles.com","2696469367","2696467006","KG-Part, 1-12, GenEd, PK"
"Huda School and Montessori","32220 FRANKLIN RD","32220 FRANKLIN RD","FRANKLIN","FRANKLIN","48025-1131","48025-1131","Birmingham","Mrs.","Azra Ali","Azra","Ali","hudaschool@yahoo.com","2486260900","2486267146","KG-Part, 1-8, GenEd, PK"
"Hudsonville Christian School","3435 OAK ST","3435 OAK ST","HUDSONVILLE","HUDSONVILLE","49426-1005","49426-1005","Hudsonville","Mr.","Dan Pott","Dan","Pott","dpott@4hcs.org","6166696689","6165813454","KG-Part, 1-8, GenEd, PK"
"Huron Valley Catholic School","1300 NORTH PROSPECT RD","1300 NORTH PROSPECT RD","YPSILANTI","YPSILANTI","48198-3093","48198-3093","Ypsilanti","Mr.","Timothy Kotyuk","Timothy","Kotyuk","tkotyuk@huronvalleyschool.org","7344830366","7344830366","KG-Part, 1-8, GenEd, PK"
"Huron Valley Lutheran High School","33740 COWAN RD","33740 COWAN RD","WESTLAND","WESTLAND","48185-2374","48185-2374","Wayne-Westland","Mr.","Dan Schultz","Dan","Schultz","hvlhs@hotmail.com","7345250160","7345256717","9-12, GenEd"
"Imlay City Christian School","7197 EAST IMLAY CITY RD","7197 EAST IMLAY CITY RD","IMLAY CITY","IMLAY CITY","48444-9446","48444-9446","Imlay City","Ms.","Karen Hibbler","Karen","Hibbler","iccsmrshibbler@yahoo.com","8107245695","8107245355","KG-Part, 1-8, GenEd, PK"
"Immaculate Conception Elementary School","218 VINE ST","218 VINE ST","TRAVERSE CITY","TRAVERSE CITY","49684-2264","49684-2264","Traverse City","Mr.","Matt Bauman","Matt","Bauman","mbauma@gtacs.org","2319471252","2319472508","3-5, GenEd"
"Immaculate Conception School","7043 CHURCH RD","7043 CHURCH RD","IRA","IRA","48023-2301","48023-2301","Anchor Bay","Mrs.","Kathleen Steele","Kathleen","Steele","icprincipal@comcast.net","5867250078",,"KG-Part, 1-8, GenEd, PK"
"Immaculate Conception School","601 SOUTH DOUGLAS AVE","601 SOUTH DOUGLAS AVE","THREE RIVERS","THREE RIVERS","49093-2044","49093-2044","Three Rivers","Ms.","Mariah Mandeville","Mariah","Mandeville","mmandeville@iccatholicschool.com","2692732085","2692732114","KG-Part,1-8, GenEd, PK"
"Immaculate Conception Ukranian School","29500 WESTBROOK AVE","29500 WESTBROOK AVE","WARREN","WARREN","48092-5427","48092-5427","Warren Consolidated","Ms.","Dianne Karpinsky","Dianne","Karpinsky","diannekarpinsky@yahoo.com","5865742480","5865743497","KG-Part, 1-8, GenEd, PK"
"Immaculate Heart of Mary School","1951 Plymouth SE","1951 PLYMOUTH SE","Grand Rapids","GRAND RAPIDS","49506-4495","49506","Grand Rapids","Ms.","Stacey Slomski","Stacey","Slomski","principal@ihmschoolgr.com","6162414633",,"KG-Part,1-8, GenEd, PK"
"Immaculate Heart of Mary-St. Casimir","3830 ROSEMONT ST","3830 ROSEMONT ST","LANSING","LANSING","48910-4525","48910-4525","Lansing","Mrs.","Angela Johnston","Angela","Johnston","johnstona@ihmlansing.org","5178826631","5173930855","KG-Part, 1-8, GenEd"
"Immanuel - St. James Lutheran School","2066 OAKWOOD AVE NE","2066 OAKWOOD AVE NE","GRAND RAPIDS","GRAND RAPIDS","49505-4170","49505-4170","Grand Rapids","Ms.","Lisa Singleton","Lisa","Singleton","isjluth@iserv.net","6163630505",,"KG-Part, 1-8, GenEd, PK"
"Immanuel Lutheran School","615 Washington Way","615 WASHINGTON WAY","Sault Ste. Marie","SAULT SAINTE MARIE","49783-2657","49783-2657","Sault Ste. Marie","Mr.","Justin Groth","Justin","Groth","grothje@gmail.com","9066322640","9066323640","KG-Part, 1-8, GenEd"
"Immanuel Lutheran School","355 WILSON ST","355 WILSON ST","ALPENA","ALPENA","49707-1423","49707-1423","Alpena","Mrs.","Pamela White","Pamela","White","ilsalpena@deepnet.net","9893544805","9893581102","KG-Part, 1-8, GenEd, PK"
"Immanuel Lutheran School","247 NORTH LINCOLN ST","247 NORTH LINCOLN ST","BAY CITY","BAY CITY","48708-6648","48708-6648","Bay City","Mrs.","Pat Hambaum","Pat","Hambaum","path@immanuelbaycity.com","9898938521","9898934172","KG-Part, 1-8, GenEd, PK"
"Immanuel Lutheran School","8220 EAST HOLLAND RD","8220 EAST HOLLAND RD","SAGINAW","SAGINAW","48601-9479","48601-9479","Frankenmuth","Mr.","Dennis Neumeyer","Dennis","Neumeyer","school@frankentrost.org","9897544285","9897540454","KG-Part, 1-8, GenEd, PK"
"Inter City Baptist School","4700 ALLEN RD","4700 ALLEN RD","ALLEN PARK","ALLEN PARK","48101-2768","48101-2768","Melvindale-N. Allen Park","Mr.","James Hubbard","James","Hubbard","jhubbard@intercity.org","3139286900",,"KG-Part, 1-12, GenEd"
"Interlochen Arts Academy","4000 M-137 Hwy S., PO Box 199","4000 M 137","Interlochen","Interlochen","49643-0199","49643-8427","Traverse City","Mr.","Edward Farraday","Edward","Farraday","farradayec@interlochen.org","2312767374","2312767885","9-12, Boarding, GenEd"
"Ionia SDA School","721 ELMWOOD DR","721 ELMWOOD DR","IONIA","IONIA","48846-1042","48846-1042","Ionia Twp #2","Mr.","Jeff Thompson","Jeff","Thompson","bdavis@misda.org","6165211971","5173161559","1-8, GenEd"
"Ithaca SDA School","935 NORTH PINE RIVER ST","935 NORTH PINE RIVER ST","ITHACA","ITHACA","48847-1119","48847-1119","Ithaca","Ms.","Rebecca White","Rebecca","White","bdavis@misda.org","9898754961","5173161559","KG-Part, 1-8, GenEd"
"Jackson Catholic Middle School","915 COOPER ST","915 COOPER ST","JACKSON","JACKSON","49202-3325","49202-3325","Jackson","Mr.","Anthony Shaughnessy","Anthony","Shaughnessy","tonyshaughnessy@hotmail.com","5177843385","5177842316","7-8, GenEd"
"Jackson Christian School","4200 LOWE RD","4200 LOWE RD","JACKSON","JACKSON","49203-5528","49203-5528","Jackson","Mr.","Jimmy Dolson","Jimmy","Dolson","jdolson@jacksonchristianschool.org","5177832658","5177834235","KG-Part, 1-12, GenEd, PK"
"Japhet School","31201 DORCHESTER AVE","31201 DORCHESTER AVE","MADISON HEIGHTS","MADISON HEIGHTS","48071-1075","48071-1075","Lamphere","Ms.","Catherine Mohan","Catherine","Mohan","frontoffice@japhet.org","2485859150","2485854495","KG-Part, 1-8, GenEd, PK"
"Jenison Christian School","7726 GRACELAND DR","7726 GRACELAND DR","JENISON","JENISON","49428-7755","49428-7755","Jenison","Mr.","Tim Paauw","Tim","Paauw","tpaauw@jenisonchristian.org","6164573301",,"KG-Part, 1-8, GenEd, PK"
"John Paul II Catholic School","1590 RIVERBANK ST","1590 RIVERBANK ST","LINCOLN PARK","LINCOLN PARK","48146-3867","48146-3867","Lincoln Park","Mrs.","Mariann Lupinacci","Mariann","Lupinacci","principal@christgoodshepherd.org","3133860633","3139281326","KG,1-8, GenEd, PK"
"Kalamazoo Christian High School","2121 STADIUM DR","2121 STADIUM DR","KALAMAZOO","KALAMAZOO","49008-1644","49008-1644","Kalamazoo","Ms.","Linda Dahnke","Linda","Dahnke","ldahnke@kcsa.org","2693812250","2693810319","9-12, GenEd"
"Kalamazoo Christian Middle School","3333 SOUTH WESTNEDGE AVE","3333 SOUTH WESTNEDGE AVE","KALAMAZOO","KALAMAZOO","49008-4902","49008-4902","Kalamazoo","Mr.","David Koning","David","Koning","dakoning@kcsa.org","2693433645","2693434649","6-8, GenEd"
"Kalamazoo Christian W. Elem. School","3800 SOUTH 12TH ST","3800 SOUTH 12TH ST","KALAMAZOO","KALAMAZOO","49009-9516","49009-9516","Kalamazoo","Mr.","Marc Verkaik","Marc","Verkaik","mverkaik@kcsa.org","2695442332","2695442391","KG-Part, 1-5, GenEd, PK"
"Kalamazoo Country Day","4221 EAST MILHAM AVE","4221 EAST MILHAM AVE","PORTAGE","PORTAGE","49002-9390","49002-9390","Portage","Mr.","Nicholas Edgerton","Nicholas","Edgerton","nedgerton@kalamazoocountryday.org","2693290116","2693291850","KG-Part, 1-8, GenEd, PK"
"Kalamazoo SDA School","1601 NICHOLS RD","1601 NICHOLS RD","KALAMAZOO","KALAMAZOO","49006-2007","49006-2007","Kalamazoo","Mr.","William Crawford","William","Crawford","bdavis@misda.org","2693428943","5173161559","KG-Part,1-10, GenEd"
"Kazoo School","1401 CHERRY ST","1401 CHERRY ST","KALAMAZOO","KALAMAZOO","49008-1824","49008-1824","Kalamazoo","Ms.","Christine Morgan","Christine","Morgan","cmorgan@kresanet.org","2693453239",,"KG-Part, 1-8, GenEd, PK"
"Kingdom Academy","PO Box 310528","728 EAST STEWART AVE","Flint","FLINT","48531-0528","48505-5352","Flint","Ms.","Tamiko Mason","Tamiko","Mason","mrstamikoisrich@gmail.com","8107325880",,"KG-Part,1-6, GenEd, PK"
"Kingsbury School","5000 HOSNER RD","5000 HOSNER RD","OXFORD","OXFORD","48370-1000","48370-1000","Oxford","Mr.","Thomas Mecsey","Thomas","Mecsey","tmecsey@kingsburyschool.org","2486282571","2486283612","KG-Part, 1-8, GenEd, PK"
"Ladywood High School--Detroit","14680 NEWBURGH RD","14680 NEWBURGH RD","LIVONIA","LIVONIA","48154-5034","48154-5034","Livonia","Ms.","Joan Fitzgerald","Joan","Fitzgerald","jfitzgerald@ladywood.org","7345911544","7345914214","9-12, GenEd"
"Laingsburg Christian School","P.O. Box 250, 901 E. Grand River","901 EAST GRAND RIVER RD","Laingsburg","LAINGSBURG","48848-0250","48848","Laingsburg","Ms.","Barbara Vincent","Barbara","Vincent","vincentbarbarac@gmail.com","5176512081",,"KG-Part,1-12, GenEd, PK"
"Lake Area Christian School","63590 BORGERT RD","63590 BORGERT RD","STURGIS","STURGIS","49091-9362","49091-9362","Centreville",,"Ruby Miller","Ruby","Miller","lakearea@peoplepc.com","2696515135",,"KG-Part, 1-12, GenEd, PK"
"Lake Michigan Academy","2428 BURTON ST SE","2428 BURTON ST SE","GRAND RAPIDS","GRAND RAPIDS","49546-4806","49546-4806","Grand Rapids","Ms.","Rebecca Rop","Rebecca","Rop","rrop@mylma.org","6164643330","6162851935","2-12, GenEd"
"Lake Michigan Catholic MS/HS","915 PLEASANT ST","915 PLEASANT ST","SAINT JOSEPH","SAINT JOSEPH","49085-1245","49085-1245","St. Joseph","Mr.","John Berlin","John","Berlin","jberlin@lmclakers.com","2699832511",,"6-12, GenEd"
"Lake Michigan Catholic School","3165 WASHINGTON AVE","3165 WASHINGTON AVE","SAINT JOSEPH","SAINT JOSEPH","49085-3400","49085-3400","St. Joseph","Ms.","Jody Maher","Jody","Maher","catholicprincipal@yahoo.com","2694290227","2698762646","KG-Part, 1-5, GenEd, PK"
"Lake Orion Baptist School","255 EAST SCRIPPS RD","255 EAST SCRIPPS RD","LAKE ORION","LAKE ORION","48360-2245","48360-2245","Lake Orion","Mr.","Tony Bryson","Tony","Bryson","tbryson@fbclo.org","2486936203","2486936177","KG-Part, 1-12, GenEd"
"Lakes Area Montessori School","8605 RICHARDSON RD","8605 RICHARDSON RD","COMMERCE TOWNSHIP","COMMERCE TOWNSHIP","48390-1362","48390-1362","Walled Lake","Ms.","Usha Mangrulkar","Usha","Mangrulkar","mangrulkar@comcast.net","2483600500","2487379516","KG-Part,1-5, GenEd, PK"
"Lakeshore Christian Academy","13664 LAKESHORE DR","13664 LAKESHORE DR","GRAND HAVEN","GRAND HAVEN","49417-9443","49417-9443","Grand Haven","Mr.","Mark Green","Mark","Green","mgreen@contactica.com","6168428290","6168428290","KG-Part, 1-12, GenEd, PK"
"Lamont Christian School","5260 LEONARD ST","5260 LEONARD ST","COOPERSVILLE","COOPERSVILLE","49404-8714","49404-8714","Coopersville","Ms.","Bev Breen","Bev","Breen","bbreen@lamontcs.org","6166771757","6166772935","KG-Part, 1-8, GenEd, PK"
"Lansing Baptist School","1902 EAST CAVANAUGH RD","1902 EAST CAVANAUGH RD","LANSING","LANSING","48910-3694","48910-3694","Lansing","Mr.","Steve Green","Steve","Green","lbspacers1@gmail.com","5178822385",,"KG-Part,1-12, GenEd"
"Lansing Catholic Central High School","501 MARSHALL ST","501 MARSHALL ST","LANSING","LANSING","48912-2306","48912-2306","Lansing","Mr.","Thomas Maloney","Thomas","Maloney","maloney@lansingcatholic.org","5172672100","5172672135","9-12, GenEd"
"Lansing Christian School","3405 Belle Chase Way","3405 BELLE CHASE WAY","Lansing","LANSING","48911-4252","48911-4252","Holt","Mrs.","Pamela Campbell","Pamela","Campbell","olowe@lansingchristianschool.org","5178825779","5178825849","KG-Part, 1-12, GenEd, PK"
"Leelanau School","1 OLD HOMESTEAD RD","1 OLD HOMESTEAD RD","GLEN ARBOR","GLEN ARBOR","49636-9720","49636-9720","Glen Lake","Mr.","Richard Odell","Richard","Odell","info@leelanau.org","2313345827","2313345899","9-12, Boarding, GenEd"
"Legacy Christian School","67 68TH ST SW","67 68TH ST SW","GRAND RAPIDS","GRAND RAPIDS","49548-7111","49548-7111","Kentwood","Mr.","Vincent Bonnema","Vincent","Bonnema","vbonnema@legacycs.org","6164553860","6164551960","KG-Part, 1-8, GenEd, PK"
"Lenawee Christian School","111 WOLF CREEK HWY","111 WOLF CREEK HWY","ADRIAN","ADRIAN","49221-9487","49221-9487","Adrian","Mr.","Ronald Evans","Ronald","Evans","revans@lenawee.org","5172637590","5172656558","KG-Part, 1-12, GenEd, PK"
"Living Stones Academy","1250 Sigsbee Street, SE","1250 Sigsbee Street, SE","Grand Rapids","Grand Rapids","49506","49506","Grand Rapids","Ms.","Karyn Farrar-Perkins","Karyn","Farrar-Perkins","karynfp@livingstonesgr.org","6168191902",,"KG,1-5, GenEd, PK"
"Living Word Lutheran School","3838 NORTH ROCHESTER RD","3838 NORTH ROCHESTER RD","ROCHESTER","ROCHESTER","48306-1052","48306-1052","Rochester","Ms.","Stacy Hoeft","Stacy","Hoeft","livingwordschool@livword.net","2486519474","2486518349","KG-Part, 1-8, GenEd, PK"
"Livingston Christian Schools","550 EAST HAMBURG ST","550 EAST HAMBURG ST","PINCKNEY","PINCKNEY","48169-9105","48169-9105","Pinckney","Mr.","Ted Nast","Ted","Nast","admin.hncs@comcast.net","7348789818","7348789830","KG-Part, 1-12, GenEd, PK"
"Loyola High School","15325 PINEHURST ST","15325 PINEHURST ST","DETROIT","DETROIT","48238-1633","48238-1633","Detroit",,"DeLisa Jones","DeLisa","Jones","djones@loyolahsdetroit.org","3138612407",,"9-12, GenEd"
"Ludington Area Catholic School","700 EAST BRYANT RD","700 EAST BRYANT RD","LUDINGTON","LUDINGTON","49431-1572","49431-1572","Ludington","Mr.","Collin Thompson","Collin","Thompson","cthompson@lacschool.com","2318433188","2318432052","KG-Part,1-7, GenEd, PK"
"Lumen Christi High School","3483 SPRING ARBOR RD","3483 SPRING ARBOR RD","JACKSON","JACKSON","49203-3637","49203-3637","Jackson","Mr.","Patrick Kalahar","Patrick","Kalahar","pkalahar@hotmail.com","5177870630","5177871066","9-12, GenEd"
"Lutheran High School NW","1000 BAGLEY DR","1000 BAGLEY DR","ROCHESTER HILLS","ROCHESTER HILLS","48309-3846","48309-3846","Avondale","Mr.","Paul Looker","Paul","Looker","plooker@lhnw.lhsa.com","2488526677","2488522667","9-12, GenEd"
"Lutheran High School South","8210 NORTH TELEGRAPH RD","8210 NORTH TELEGRAPH RD","NEWPORT","NEWPORT","48166-8913","48166-8913","Airport","Mr.","Steven Garrabrant","Steven","Garrabrant","sgarrabrant@lutheranhighsouth.com","7345868832","7346378551","9-12, GenEd"
"Lutheran High School-North","16825 24 MILE RD","16825 24 MILE RD","MACOMB","MACOMB","48042-2901","48042-2901","Utica","Mr.","John Reincke","John","Reincke","jreincke@lhsa.com","5867819151","5867819151","9-12, GenEd"
"Lutheran High School-Westland","33300 COWAN RD","33300 COWAN RD","WESTLAND","WESTLAND","48185-2375","48185-2375","Wayne-Westland","Mr.","Steven Schwecke","Steven","Schwecke","sschwecke@lhsa.com","7344222090","7344228566","9-12, GenEd"
"Macomb Christian Schools","28501 LORRAINE AVE","28501 LORRAINE AVE","WARREN","WARREN","48093-8202","48093-8202","Warren Consolidated","Ms.","Kristen Nelson","Kristen","Nelson","knelson@macombchristianschools.org","5867518980","5867517946","KG-Part, 1-12, GenEd, PK"
"Manistee Catholic Central Schools","1200 US HIGHWAY 31 S","1200 US HIGHWAY 31 S","MANISTEE","MANISTEE","49660-2267","49660-2267","Manistee","Mrs.","Jan Bigalke","Jan","Bigalke","bigalkej@manistee.org","2317232529","2317230669","KG-Part, 1-12, GenEd, PK"
"Mapletree Montessori Academy","2944 SOUTH OLD US HIGHWAY 23","2944 SOUTH OLD US HIGHWAY 23","BRIGHTON","BRIGHTON","48114-8601","48114-8601","Brighton","Ms.","Patricia Cherry","Patricia","Cherry","pscherry@sbcglobal.net","8102258321","8102257258","KG-Part,1-6, GenEd, PK"
"Maplewood Baptist Academy","3255 WEST M 80","3255 WEST M 80","KINROSS","KINROSS","49752-9150","49752-9150","Rudyard","Dr.","Tim Rader","Tim","Rader","maplewood_blackbears@hotmail.com","9064951572","9064957433","KG-Part, 1-12, GenEd, PK"
"Marian High School","7225 LAHSER RD","7225 LAHSER RD","BLOOMFIELD HILLS","BLOOMFIELD HILLS","48301-4047","48301-4047","Birmingham","Sr.","Lenore Pochelski","Lenore","Pochelski","lenoreihm@marian-hs.org","2486441750","2486446107","9-12, GenEd"
"Meadow Montessori School","1670 SOUTH RAISINVILLE RD","1670 SOUTH RAISINVILLE RD","MONROE","MONROE","48161-9045","48161-9045","Ida","Ms.","Catharine Calder","Catharine","Calder","ccalder@meadowmontessori.org","7342419496","7342410829","KG-Part, 1-12, GenEd, PK"
"Memorial Lutheran School","2070 EAST SHERWOOD RD","2070 EAST SHERWOOD RD","WILLIAMSTON","WILLIAMSTON","48895-9605","48895-9605","Williamston","Mr.","Joshua Pederson","Joshua","Pederson","jpedersons79@gmail.com","5176551402","5176551402","KG-Part, 1-8, GenEd"
"Menominee Catholic Central","1406 10TH AVE","1406 10TH AVE","MENOMINEE","MENOMINEE","49858-2604","49858-2604","Menominee","Mr.","Daniel Paul","Daniel","Paul","danpaul@catholiccentral.us","9068633190","9068633990","KG-Part, 1-8, GenEd, PK"
"Mercy High School","29300 WEST 11 MILE RD","29300 WEST 11 MILE RD","FARMINGTON HILLS","FARMINGTON HILLS","48336-1409","48336-1409","Farmington","Ms.","Carolyn Witte","Carolyn","Witte","crwitte@mhsmi.org","2484768020","2484763691","9-12, GenEd"
"Mesivta of Toledo","4200 Walnut Lake Rd.","4200 Walnut Lake Rd","West Bloomfield","West Bloomfield","48075","48323-2772","West Bloomfield","Mr.","Pinchus Neuberger","Pinchus","Neuberger","neubergerp@gmail.com","2484705655","2487387235","9-12, GenEd"
"Metro Baptist School","PO Box 562","47100 I94 SERVICE DR","Belleville","BELLEVILLE","48112-0562","48112","Van Buren","Mr.","John Vaprezsan","John","Vaprezsan","jillapainter@gmail.com","7346974065",,"KG-Part, 1-12, GenEd"
"Metropolitan SDA Jr. Academy","15585 NORTH HAGGERTY RD","15585 NORTH HAGGERTY RD","PLYMOUTH","PLYMOUTH","48170-4864","48170-4864","Plymouth-Canton","Mr.","Craig Morgan","Craig","Morgan","bdavis@misda.org","7344204044","5173161559","KG, KG-Part, 1-10, GenEd"
"Michigan Islamic Academy","2301 PLYMOUTH RD","2301 PLYMOUTH RD","ANN ARBOR","ANN ARBOR","48105-2192","48105-2192","Ann Arbor","Principal","Fayzeh Madani","Fayzeh","Madani","principal@mia-aa.org","7346658882","7346659058","KG-Part, 1-12, GenEd, PK"
"Michigan Lutheran High School","615 EAST MARQUETTE WOODS RD","615 EAST MARQUETTE WOODS RD","SAINT JOSEPH","SAINT JOSEPH","49085-9391","49085-9391","St. Joseph","Mr.","Ronald Briney","Ronald","Briney","rbriney@michiganlutheran.org","2694297861","2694294428","9-12, GenEd"
"Michigan Lutheran Seminary","2777 HARDIN ST","2777 HARDIN ST","SAGINAW","SAGINAW","48602-3710","48602-3710","Saginaw","Dr.","William Zeiger","William","Zeiger","wez@mlsem.org","9897931041","9897934213","9-12, Boarding, GenEd"
"Michigan Montessori International Ctr.","2745 MOUNT HOPE RD","2745 MOUNT HOPE RD","OKEMOS","OKEMOS","48864-2418","48864-2418","Okemos","Mrs.","Susan Hyatt","Susan","Hyatt","shyatt@okemosmontessori.org","5173513655",,"KG-Part,1-6, GenEd, PK"
"Midland Christian School","4417 WEST WACKERLY ST","4417 WEST WACKERLY ST","MIDLAND","MIDLAND","48640-2186","48640-2186","Midland","Mr.","Eric VanDerhoof","Eric","VanDerhoof","mcsvdhoof@sbcglobal.net","9898359881","9898355201","KG-Part, 1-12, GenEd, PK"
"Moline Christian School","PO Box 130, 1253 144th Avenue","1253 144TH AVE","Moline","MOLINE","49335-0130","49335","Wayland Union","Mr.","Kevin Sall","Kevin","Sall","kevin.sall@molinechrsch.org","6168774688","6168774689","KG-Part, 1-8, GenEd, PK"
"Montcalm School","13725 26 MILE RD","13725 26 MILE RD","ALBION","ALBION","49224-9525","49224-9525","Albion","Ms.","Patricia Hiatt","Patricia","Hiatt","hiattpe@starr.org","8008375591","5176294650","7-12, Boarding, GenEd"
"Montessori Center of East Lansing","1370 BEECH ST","1370 BEECH ST","EAST LANSING","EAST LANSING","48823-3639","48823-3639","East Lansing","Ms.","Tina Nauman","Tina","Nauman","steppingstonestina@gmail.com","5173360422","5173360423","KG-Part, 1-6, GenEd, PK"
"Montessori Childrens Academy","43521 ROMEO PLANK RD","43521 ROMEO PLANK RD","CLINTON TOWNSHIP","CLINTON TOWNSHIP","48038-1295","48038-1295","Chippewa Valley","Mrs.","Janet Malkar","Janet","Malkar","mcacademy@sbcglobal.net","5862864566","5862864720","KG-Part, 1-6, GenEd, PK"
"Montessori Children's Academy","955 FRED W MOORE HWY","955 FRED W MOORE HWY","SAINT CLAIR","SAINT CLAIR","48079-4963","48079-4963","East China","Ms.","Jennifer Brown","Jennifer","Brown","jbrown199@sbcglobal.net","8103297592","8103260355","KG-Part,1-5, GenEd, PK"
"Montessori Children's Center","750 HOWARD ST","750 HOWARD ST","KALAMAZOO","KALAMAZOO","49008-1806","49008-1806","Kalamazoo","Ms.","Judy Hill","Judy","Hill","judy@themontessorischool.org","2693493248","2693491480","KG-Part, 1-5, GenEd, PK"
"Montessori Childrens House","2100 WEST SAINT JOSEPH ST","2100 WEST SAINT JOSEPH ST","LANSING","LANSING","48915-1175","48915-1175","Lansing","Mrs.","Maureen Newton","Maureen","Newton","m.children@comcast.net","5174829191",,"KG-Part, 1-6, GenEd, PK"
