"DISTRICT","NON-PUBLIC SCHOOLS","RELIGIOUS_AFFILIATION","PRINCIPAL","Address","State and zip","Phone","EMAIL"
"96715","CHRIST, LIGHT OF THE NATION S ","CATHOLIC ","LAWRENCE,  SR. MARY ","1650 REDMAN AVENUE  ST. LOUIS  MO","631380000","(314) 653-2531 ","G.GARDOCKI@YAHOO.COM "
"96719","ACADEMY AT ST ROSE PHILLIPINE  ","CATHOLIC ","Persinger,  Jay ","1220 PADDOCK DR  FLORISSANT  MO","630330000","(314) 972-8755 ","bonaventur@aol.com "
"96841","APPRENDE PRIVATE SCHOOL ","INDEPENDENT - NONSECTARIAN ","MUNGER,  GERRY ","2495 MARSHALL ROAD  KIRKWOOD  MO","631220000","(636) 225-5485 ","APPRENDE@ATT.NET "
"96842","SHINING RIVERS SCHOOL ","OTHER PRIVATE SCHOOL ","Weidemann,  Ann ","915 N. ELM AVE  WEBSTER GROVES","MO  63119 ","(314) 962-2012 ","aweidemann@shiningrivers.org "
"96847","FAHLO CHRISTIAN ACADEMY ","CHRISTIAN-NONDENOMINATIONAL ","Bryant,  Thelma ","8015 Wesley Ave.  Kinloch","Mo  63140 "," ","fahlo@swbell.bet "
"97400","ST PETERS SCHOOL ","CATHOLIC ","Littrell,  Gary ","368 S ELLSWORTH  MARSHALL","MO  65340 ","(660) 886-6606 ","garlittrell@stpeterchurch-marshallmo.org "
"100400","ST AUGUSTINES SCHOOL ","CATHOLIC ","DUMEY,  TRACY ","230 S. U.S. HWY 61  KELSO  MO","63758-0097 ","(573) 264-1475 ","TDUMEY@STAKELSO.ORG "
"100402","GUARDIAN ANGEL SCHOOL ","CATHOLIC ","Wilgus,  Pamela ","514 CHURCH  ORAN  MO","637710000","(573) 262-3583 ","pwilgusga@yahoo.com "
"100404","ST AMBROSE SCHOOL ","Catholic ","Lankheit,  Cliff ","419 S. THIRD ST  CHAFFEE  MO","637400000","(573) 887-6711 ","clankheit620@hotmail.com "
"100405","ST DENIS SCHOOL ","CATHOLIC ","POWERS,  KAREN ","P O BOX 189  BENTON  MO","637360000","(573) 545-9185 ","STDENISCATHOLICSCHOOL@YAHOO.COM "
"100406","ST JOSEPH SCHOOL ","CATHOLIC ","SPALDING,  BETTY ","606 SYCAMORE  SCOTT CITY  MO","637800000","(573) 264-1325 ","STJOEINSC@CHARTER.NET "
"100603","ST FRANCIS XAVIER SCHOOL ","CATHOLIC ","Pollock,  Debra ","106 N. STODDARD  SIKESTON","MO  63801 ","(573) 471-841 ","pollocksfx@yahoo.com "
"109402","HOLY ROSARY SCHOOL ","CATHOLIC ","FORD,  JIM ","716 E BOONESLICK ROAD  WARRENTON  MO","633831029","(636) 456-6181 ","HRPRINCIPAL@EARTHLINK.NET "
"109403","ST VINCENT SCHOOL ","CATHOLIC ","Smith,  Diane ","13495 S HIGHWAY 94  MARTHASVILLE  MO","633570000","(636) 433-2924 ","svprincipal@centurytel.net "
"110400","ST JOACHIM SCHOOLS ","CATHOLIC ","POLITTE,  JOYCE ","10121 Crest Rd.  Cadet  MO","636300000","(573) 438-3161 ","stjoachimprincipal@yahoo.com "
"111601","VICTORY BAPTIST ACADEMY ","OTHER RELIGION ","Miller,  Scott ","RT 2 BOX 2577  PIEDMONT","MO  63957 ","(573) 223-2787 ","broscott@victorybaptisttemple.com "
"115401","ST CECILIA SCHOOL ","CATHOLIC ","KILMADE,  JOSEPH ","906 EICHELBERGER  ST LOUIS","MO  63111 ","(314) 353-2114 ","JKILMADE@GMAIL.COM "
"115408","CATHEDRAL BASILICA OF ST LOUIS ","Catholic ","Donovan,  Kathleen ","4430 MARYLAND AVE  ST LOUIS","MO  63108 ","(314) 373-8289 ","kdonovan@cathedralstl.org "
"115416","ST JOAN OF ARC SCHOOL ","CATHOLIC ","DaLay,  Deborah ","5821 PERNOD  ST LOUIS  MO","631391906","(314) 351-8562 ","archstl153@yahoo.com "
"115433","ST LOUIS UNIVERSITY HIGH ","Catholic ","Moran,  John ","4970 OAKLAND AVE  ST LOUIS","MO  63110 ","(314) 531-3441 ","tbecvar@sluh.org "
"115438","IMMACULATE HEART OF MARY ","CATHOLIC ","Danzeisen,  Richard  ","4070 BLOW ST  ST LOUIS  M","O  63116000 ","(314) 832-1627 ","rdanzeisen@Yahoo.com "
"115448","ST STEPHEN PROTOMARTYR SC ","CATHOLIC ","bohac,  meghan ","3929 WILMINGTON AVE  ST LOUIS  MO","631160000","(314) 752-5165 ","meghanbohacssp@gmail.com "
"115449","ST RAPHAEL THE ARCHANGEL ","CATHOLIC ","Abegg,  Peter ","6000 JAMIESON AVE  ST LOUIS  MO","631090000","(314) 351-7477 ","abegg@straphaelarchangle.org "
"115454","ST MARGARETS SCHOOL ","CATHOLIC ","Hesed,  Juliann ","3964 CASTLEMAN  ST LOUIS","MO  63110 ","(314) 776-7955 ","jhesed@smos-school.org "
"115480","NEW CITY SCHOOL ","INDEPENDENT - NONSECTARIAN ","Hoerr,  Thomas ","5209 WATERMAN AVE  ST LOUIS  MO","631080000","(314) 361-1499 ","pnuernberger@newcityschool.org "
"115493","ROSATI KAIN HIGH SCHOOL ","CATHOLIC ","MOHAN,  JUDY ","4389 LINDELL BLVD  ST LOUIS  MO","631082701","(314) 533-1618 ","JMOHAN@ROSATI-KAIN.ORG "
"115494","CARDINAL RITTER CLG PREP ","CATHOLIC ","BLACKSHEAR,  MICHAEL ","701 North Spring Avenue  ST LOUIS","MO  63108 ","(314) 446-5570 ","MBLACKSHEAR@CARDINALRITTERPREP.ORG "
"115496","BISHOP DUBOURG HIGH SCH ","CATHOLIC ","Timoney,  Bridget ","5850 EICHELBERGER ST  ST LOUIS  MO","631090000","(314) 832-529 ","btimoney@bishopdubourg.org "
"115499","RIVER ROADS LUTHERAN SCH ","LUTHERAN ","BOYD,  YVONNE ","8623 CHURCH ROAD  ST LOUIS  MO","631470000","(314) 388-3253 ","YMBOYD@YAHOO.COM "
"115502","ST MATTHEW LUTHERAN SCH ","LUTHERAN ","LEWIS,  Johnathan ","5403 WREN AVE  ST LOUIS","MO  63120 ","(314) 261-7707 ","STMATH@SWBELL.NET "
"115503","WORD OF LIFE LUTHERAN SCH ","LUTHERAN ","Robinson,  David ","6535 EICHELBERGER  ST LOUIS","MO  63109 ","(314) 832-195 ","dprobinson@wolstl.org "
"115606","CROSSROADS SCHOOL ","OTHER PRIVATE SCHOOL ","DAGGETT,  CLARK ","500 DEBALIVIERE  ST. LOUIS","MO  63112 ","(314) 367-9711 ","CLARK@CROSSROADSCOLLEGEPREP.ORG "
"115620","MARIAN MIDDLE SCHOOL ","CATHOLIC ","Leming,  Christy ","4130 Wyoming  ST LOUIS","MO  63116 ","(314) 771-7679 ","cleming@mms-stl.org "
"115632","ST LOUIS CHRISTIAN ACADEMY ","Christian-Nondenominational ","Autenrieth,  Aaron ","3145 Lafayette  St. Louis","MO  63104 ","(314) 664-5799 ","slcacougars@email.com "
"115639","ST ROCH SCHOOL ","Catholic ","Openlander,  Gloria  ","6040 Waterman  St. Louis","MO  63112 ","(314) 721-1656 ","gloriao@strochschool.org "
"115645","LOYOLA ACADEMY ","CATHOLIC ","PETRON,  KATHERINE ","3851 WASHINGTON BLVD  ST LOUIS  MO","631080000","(314) 531-3603 ","KPETRON@LOYOLAACADEMY.COM "
"115645","LOYOLA ACADEMY ","Catholic ","Petron,  Katherine ","3851 WASHINGTON BLVD  ST LOUIS  MO","631080000","(314) 531-3603 ","kpetron@loyolaacademy.org "
"115648","CENTRAL INSTITUTE FOR THE DEAF ","OTHER PRIVATE SCHOOL ","Lanfer,  Barb ","825 S. Taylor Ave.  St. Louis","MO  63110 ","(314) 977-23 ","mgremp@cid.edu "
"115660","DE LA SALLE MIDDLE SCHOOL ","CATHOLIC ","PUSATERI,  PHILLIP ","4145 KENNERLY AVE  ST LOUIS  MO","631132942","(314) 531-4820 ","PPUSATERI@DELASALLEMS.ORG "
"115661","ST. FRANCIS CABRINI ACADEMY ","CATHOLIC ","SCHROEDER,  PETER ","3022 OREGON AVENUE  ST LOUIS  MO","631180000","(314) 776-4912 ","SCHROEDER@CABRINIACADEMY.ORG "
"115662","CITY ACADEMY ","INDEPENDENT - NONSECTARIAN ","TYSON,  KELLY ","4175 N KINGSHIGHWAY  ST LOUIS  MO","63115-1238 ","(314) 382-228 ","KTYSON@CITYACADEMYSCHOOL.ORG "
"115663","ST LOUIS CATHOLIC ACADEMY ","CATHOLIC ","SMITH,  MEKE ","4720 CARTER  ST LOUIS","MO  63115 ","(314) 389-7042 ","SMITH@STLCATHOLICACADEMY.ORG "
"115667","OUR LADY OF SORROWS CATHOLIC ","Catholic ","Liermann,  Kathleen ","5831 SOUTH KINGSHIGHWAY  ST. LOUIS  MO","631090000","(314) 351-8464 ","kliermann@olschool.org "
"115670","FRIENDLY TEMPLE CHRISTIAN ACAD ","CHRISTIAN-NONDENOMINATIONAL ","Principal,  School ","5515 MARTIN LUTHER KING DR  ST LOUIS","MO  63112 "," ","cisroe@sbcglobal.net "
"115672","SCHOLARS ACADEMY ","CHRISTIAN-NONDENOMINATIONAL ","JORDAN,  JODI ","ATTN: JODI JORDAN  ST LOUIS","MO  63115 ","(314) 534-4503 ","JODILEEJORDAN@HOTMAIL.COM "

