"School Name","School Code","Headmaster","Address","City","State","Zip Code","Zip Code + 4","Phone","Fax","Email"
"PHILLIPS TEMPLE CHRISTIAN ACADEMY","1755","BSHP GEORGE AYERS","2257 SAINT STEPHENS RD","MOBILE","AL","36617","3728","251-473-8312","251-473-1525","ptchristaca@aol.com"
"PICKENS ACADEMY","1760","J BRACH WHITE","225 RAY BASS RD","CARROLLTON","AL","35447","2210","205-367-8144","205-367-1771","bwhite@pickensacademy.com"
"PIKE LIBERAL ARTS SCHOOL","1770","CECIL E SIKES","PO BOX 329","TROY","AL","36081","0329","334-566-2023","334-670-2010","pikelibschool@yahoo.com"
"PRATTVILLE CHRISTIAN ACADEMY","1777","MR RANDY FULLINGTON","322 OLD FARM LN N","PRATTVILLE","AL","36066","6502","334-301-8771","999-999-9999","rmitchell@4pca.com"
"THE PINNACLE SCHOOLS","1781","AMY SHAW","500 GOVERNORS DR SW","HUNTSVILLE","AL","35801","5126","256-518-9998","999-999-9999","nonesupplied@noreply.com"
"PLAY WORLD CHILD DEVELOPMENT SCHOOL","1794","MR JOHN MARK SAIN","721 GRESHAM RD","FLORENCE","AL","35630","1039","256-767-2251","999-999-9999","playworldcc@aol.com"
"PRICHARD PREPARATORY SCHOOL","1796","MRS ROSALIE HOWLEY","743 MOUNT SINAI AVE","WHISTLER","AL","36612","1826","251-456-1234","999-999-9999","rhowley@prichardprepschool.com"
"PREMIER SCHOOL","1797","MS LESLIE DAVIS BUCHANAN","1827 SLAUGHTER RD","MADISON","AL","35758","8695","256-864-8450","256-864-8455","shschool@hiwaay.net"
"PROMISE PLACE PRESCHOOL AT FIRST BAPTIST","1807","MR BERRY J SMITH","309 E MAIN ST","ALBERTVILLE","AL","35950","2441","256-891-1002","999-999-9999","nonesupplied@noreply.com"
"PROMETHEAN ACADEMY","1808","DR JESSE R BUCKLEY JR","261 WESTERN HILLS DR","MADISON","AL","35757","8511","203-426-3394","999-999-9999","nonesupplied@noreply.com"
"PROVIDENCE CLASSICAL SCHOOL","1809","MS PATTIE STEWARD","1705 SPARKMAN DR NW","HUNTSVILLE","AL","35816","1117","999-999-9999","999-999-9999","nonesupplied@noreply.com"
"PROVIDENCE CHRISTIAN SCHOOL","1811","EMORY LATTA","4847 MURPHY MILL RD","DOTHAN","AL","36303","1374","334-702-8933","334-702-0700","elatta2@prov-cs.net"
"PROVIDENCE ACADEMY","1812","MR BO DIPLACIDO","1930 SLAUGHTER RD","MADISON","AL","35758","8619","256-830-9555","256-830-9595","nonesupplied@noreply.com"
"REDSTONE ARSENAL CHILD YOUTH & SCHOOL SERVICES","1819","ANDRE TERRY","BUILDING 1500 WEEDEN MOUNTAIN ROAD","REDSTONE ARSENAL","AL","35808","0000","256-876-3704","999-999-9999","nonesupplied@noreply.com"
"RANDOLPH SCHOOL","1820","BYRON C HULSEY","1005 DRAKE AVE SE","HUNTSVILLE","AL","35802","1099","256-881-1701","256-881-1784","bhulsey@randolphschool.net"
"RATCHFORD HEAD START","1821","MS LORI INGLE","600 JACKSON AVE W","ONEONTA","AL","35121","2260","205-625-6254","999-999-9999","dpreston@capma.org"
"RTK COMMUNITY LEARNING AND TECHNOLOGY CENTER","1822","MR RICO KELLY","1090 COOSA COUNTY ROAD 52","GOODWATER","AL","35072","3627","256-839-1546","256-839-1546","rtkcommlearn@att.net"
"RED MOUNTAIN COMMUNITY SCHOOL","1823","MS MELANIE B WALKER","PO BOX 55973","BIRMINGHAM","AL","35255","5973","205-218-4965","999-999-9999","melaniebwalker@gmail.com"
"RIVER EAST BAPTIST CHURCH KINDERGARTEN","1824","TAMMY CLARK","1707 REID CIR","GADSDEN","AL","35903","7645","256-494-3034","999-999-9999","nonesupplied@noreply.com"
"RIVERHILL SCHOOL","1827","TREVA LESTER","2826 COUNTY ROAD 30","FLORENCE","AL","35634","6606","256-764-8200","256-766-7006","tlester@riverhillschool.org"
"THE RILEY BEHAVIORAL AND EDUCATIONAL CENTER","1828","MRS KIMBERLY M TRAVIS","1900 GOLF RD SW STE E","HUNTSVILLE","AL","35802","4319","256-882-2457","999-999-9999","ktravis@therileycenter.org"
"RESTORATION ACADEMY","1829","MR CARL LYNN","4600 CARNEGIE AVE","FAIRFIELD","AL","35064","1430","205-785-8805","205-785-8809","nonesupplied@noreply.com"
"RUSHTON SCHOOL-GATEWAY","1833","JIM LOOP","5201 MESSER AIRPORT HWY","BIRMINGHAM","AL","35212","3032","205-510-2714","205-510-2647","nonesupplied@noreply.com"
"RIVERCHASE UNITED METHODIST DAY SCHOOL","1834","LAURIE SHOTNIK","1953 OLD HIGHWAY","HOOVER","AL","35244","0000","205-989-8070",,"lauries@riverchaseumc.org"
"SKYLAND SEVENTH DAY ADVENTIST DAY CHURCH SCHOOL","1836","MS SANDI SPADY","2211 SKYLAND BLVD E","TUSCALOOSA","AL","35405","4324","205-556-2442","999-999-9999","nonesupplied@noreply.com"
"SAFE HAVEN CHRISTIAN ACADEMY","1837","MS JANICE S MORRISSETTE","803 N DR MARTIN L KING JR DR","PRICHARD","AL","36610","4820","251-457-6088","999-999-9999","safehavenchristi@bellsouth.net"
"SAINT JAMES SCHOOL","1850","MRS MELBA B. RICHARDSON","6010 VAUGHN RD","MONTGOMERY","AL","36116","1202","334-273-2999","999-999-9999","mrichardson@stjweb.org"
"SARDIS CHRISTIAN","1851","MR JIMMIE SWAIN","1620 4TH CT W","BIRMINGHAM","AL","35208","4212","205-786-4379","205-780-5898","jimmieswain@bellsouth.net"
"ST JOHNS DELIVERENCE SCHOOL OF TOMORROW","1860","FRANCINE A REESE","1624 BOYKIN BLVD","MOBILE","AL","36605","4217","251-470-0350","334-470-0440","shschool@hiwaay.net"
"ST LUKE'S EPISCOPAL SCHOOL","1870","WILSON PALMER KENNEDY","3975 JAPONICA LN","MOBILE","AL","36693","2928","251-666-2991","251-666-2996","pkennedy@stlukesmobile.com"
"SAINT MARK KINDERGARTEN","1885","MRS JANET NEBRIG","2901 COLUMBIANA RD","BIRMINGHAM","AL","35216","3505","205-822-1312","205-822-5919","janet@saintmarkumc.org"
"ST MARK UNITED METHODIST SCHOOL","1886","MS ANDREA TREHERN","439 AZALEA RD","MOBILE","AL","36609","1628","251-423-4102","999-999-9999","atrehern@thechrysalisacademy.org"
"ST PAUL'S EPISCOPAL SCHOOL","1890","ROBERT RUTLEDGE","161 DOGWOOD LN","MOBILE","AL","36608","1398","334-342-6700","334-342-1844","nonesupplied@noreply.com"
"SEMMES CHRISTIAN ACADEMY","1900","LAVONIA WHITE","9275 VICKERS RD","SEMMES","AL","36575","4423","334-649-5582","999-999-9999","nonesupplied@noreply.com"
"ST PAUL'S LUTHERAN SCHOOL","1901","ROBERT E LANGE","510 3RD AVE SE","CULLMAN","AL","35055","4399","256-734-6580","256-734-6580","relange@stpaulscullman.com"
"SARDIS CHRISTIAN SCHOOL","1941","MR EARL S WILSON","1620 4TH CT W","BIRMINGHAM","AL","35208","4212","205-786-4379","999-999-9999","nonesupplied@noreply.com"
"SATSUMA CHRISTIAN SCHOOL","1950","CHARNEL ETTAWIL","5600 BAYOU AVE","SATSUMA","AL","36572","0000","334-675-1295","334-675-8363","shschool@hiwaay.net"
"SILVERHILL CHRISTIAN ACADEMY","2001","MS AMY MCCULLY","PO BOX 145","SILVERHILL","AL","36576","0145","999-999-9999","999-999-9999","nonesupplied@noreply.com"
"SHADES MOUNTAIN CHRISTIAN SCHOOL","2005","MR LAIRD CRUMP","2290 OLD TYLER RD","HOOVER","AL","35226","1729","204-978-6001","205-978-9120","lairdcrump@smcs.org"
"SHELBY ACADEMY INC","2010","DEWAYNE KERVIN","9178 HIGHWAY 22","MONTEVALLO","AL","35115","5724","205-668-2299","205-668-1912","nonesupplied@noreply.com"
"SLAUGHTER ROAD CHILD DEVELOPMENT CENTER","2019","MS PAM HOLLIS","9 EASTVIEW DR","MADISON","AL","35758","7898","256-971-1300","999-999-9999","ttrach@knology.net"
"SHOALS CHRISTIAN SCHOOL","2022","THOMAS R HUGHES","301 HEATHROW DR","FLORENCE","AL","35633","1559","256-767-7070","256-766-5677","sch@shoalschristian.org"
"SHARP DEAN SCHOOL OF CONTINUING STUDIES INC","2024","DR ROSETTA SHARP DEAN","PO BOX 5266","ANNISTON","AL","36205","0266","256-238-0451","999-999-9999","rosetta@cableone.net"
"SOUTH CHOCTAW ACADEMY","2030","MRS MARCUS ANNE DEMPSEY","PO BOX 160","TOXEY","AL","36921","0160","251-843-2426","251-843-2088","scoffice@yahoo.com"
"SOUTH MONTGOMERY CTY ACAD","2040","CAROLYN HICKS","PO BOX 10","GRADY","AL","36036","0010","334-864-9852","334-864-9691","somtgy@mon-cre.net"
"S HIGHLAND CHILD DEV CTR INC","2050","MS MICHELLE DARABARIS","2035 HIGHLAND AVE S","BIRMINGHAM","AL","35205","3801","205-939-1210","205-933-7361","cdcdirector@shpcbhm.org"
"SOUTHERN ACADEMY","2060","JAMES I DAVIS","407 COLLEGE ST","GREENSBORO","AL","36744","1705","334-624-8111","334-624-3778","saoffice@southernacademy.net"
"SOUTHMINISTER DAY SCHOOL","2075","JEANIE COVIN","1124 MONTGOMERY HWY","VESTAVIA","AL","35216","2808","205-822-9531","205-822-0708","sdsoffice@bellsouth.net"
"SPARTA ACADEMY","2080","WAYNE HAMMONDS","300 PIERCE ST","EVERGREEN","AL","36401","2698","251-578-2852","251-578-2878","angelapierce2@yahoo.com"
"SPRING HILL BAPT PRESCHOOL","2085","PATRICIA A HAMPTON","2 MCGREGOR AVE S","MOBILE","AL","36608","1899","334-342-6044","256-896-4661","nonesupplied@noreply.com"
"SPRING VALLEY SCHOOL","2089","MS JOAN KEAGY","PO BOX 131431","BIRMINGHAM","AL","35213","6431","205-251-4455","999-999-9999","jkeagy@springvalleyschool.org"
"SPRINGWOOD SCHOOL","2090","MR BILL PARSONS","PO BOX 1030","LANETT","AL","36863","1030","334-644-2191",,"bparsons@springwoodschool.com"
"ST JOSEPH CHILD DEVELOPMENT CENTER","2091","FR DENNIS BERRY","1444 HIGHWAY 165","FORT MITCHELL","AL","36856","5136","334-855-4675","999-999-9999","guywilsonst@hotmail.com"
"ST ANN ELEMENTARY SCHOOL","2092","MRS CHRISTINE C WRIGHT","3910 SPRING AVE SW # A","DECATUR","AL","35603","1294","256-353-6543","256-353-0705","cwright@saintanncatholicschool.com"
"ST.BARNABAS REGIONAL SCHOOL","2093","MS TILLIE BARNHILL","7901 1ST AVE N","BIRMINGHAM","AL","35206","3842","205-836-5385","205-833-0272","tbarnhil@gte.net"
"STANFORD CHRISTIAN ACADEMY","2095","MR KENNETH STANFORD","PO BOX 2735","SEMMES","AL","36575","2735","251-645-2070","999-999-9999","sca8780@aol.com"
"ST BERNARD PREP SCHOOL","2096","REV JOEL MARTIN OSB","1600 SAINT BERNARD AVE SE","CULLMAN","AL","35055","3057","256-739-6682","999-999-9999","nonesupplied@noreply.com"
"SUMITON CHRISTIAN SCHOOL","2097","MRS CHERYL ANN CAPPS","PO BOX 40 155 HOSANNA DR","SUMITON","AL","35148","0040","205-648-6643","205-648-0235","cjc4bama@yahoo.com"
"ST ROSE OF LIMA ACADEMY","2098","SR MARY SETON CEBROWSKI","1401 22ND ST S","BIRMINGHAM","AL","35205","4109","205-933-0549","999-999-9999","smseton@saintroseacademyop.com"
"SUMTER ACADEMY","2100","ROBERT GARTMAN","181 SUMTER ACADEMY RD","YORK","AL","36925","9739","334-875-4464",,"nonesupplied@noreply.com"
"SYLVAN LEARNING CENTER","2101","MR MARK HARBIN","7500 SOUTH MEMORIAL PARKWAY SUITE 119","HUNTSVILLE","AL","35802","0000","256-880-1444",,"nonesupplied@noreply.com"
"SYLVAN LEARNING CENTER","2102","MS AMBER NOLEN","687 N DEAN RD","AUBURN","AL","36830","4044","334-826-3600",,"nonesupplied@noreply.com"
"SYLVAN LEARNING CENTER","2103","MS MINNIE MOORE","1720 HIGHWAY 78 EAST EMERALD PLACE","OXFORD","AL","36203","0000","256-831-4050","999-999-9999","syl2610@bellsouth.net"
"SUSANNA WESLEY EARLY EDUCATION MINISTRY","2104","MS AMY VANDERGRIFT","120 GREENE ST SE","HUNTSVILLE","AL","35801","4807","256-534-6866","256-534-9786","sweem@huntsvillefirst.org"
"SYLVAN LEARNING CENTER","2106","MS CAROLYN MILLER","2618 HOUGH RD","FLORENCE","AL","35630","1747","999-999-9999","999-999-9999","nonesupplied@noreply.com"
"SYLVAN LEARNING CENTER","2108","MR EDDIE W MCLAIN","246 GASDEN HIGHWAY SUITE 10","BIRMINGHAM","AL","35235","2055","205-871-5045","205-871-5093","nonesupplied@noreply.com"
"SUCCESS UNLIMITED ACADEMY","2109","MS SUSAN ODLE","2328 FAIRLANE DR","MONTGOMERY","AL","36116","1604","334-819-8005","334-819-8008","admin@suacademy.com"
"SUCCESS ACADEMY","2111","MR R MIKE ROLLINS","PO BOX 5072","ANNISTON","AL","36205","0072","256-820-5911","999-999-9999","rmackey@hiwaay.net"
"SUMMIT CHRISTIAN ACADEMY","2112","MR HEADMASTER HEADMASTER","1801 HIGHWAY 14 EAST","MILLBROOK","AL","36054","0000","334-358-0706",,"nonesupplied@noreply.com"
"TABERNACLE CHRISTIAN SCHOOL","2113","MR GLENN DICKSON","2649 DECATUR HWY","GARDENDALE","AL","35071","2115","205-631-9318",,"nonesupplied@noreply.com"
"TEACHER'S P.E.T.S. ACADEMY","2131","MRS CONTESSA T JACKSON","PO BOX 359","HARVEST","AL","35749","0359","256-698-8911","999-999-9999","cjackson@teacherspetsinc.com"
"TEMPLE CHRISTIAN ACADEMY","2141","PSTR WILLIAM D ODOM","PO BOX 483","ATMORE","AL","36504","0483","251-368-8282","999-999-9999","abt_tca@frontiernet.net"
"TEMPLE MOUNT CHRISTIAN ACADEMY","2142","BRUCE EDWARD MCDONALD, D.D.","1803 MULBERRY ST","MONTGOMERY","AL","36106","1525","334-260-1021","334-269-4527","nonesupplied@noreply.com"
"THE LITTLE TREE PRESCHOOL","2182","MS KIM SMITH","421 OPELIKA RD","AUBURN","AL","36830","3981","256-234-8631","256-234-8653","nonesupplied@noreply.com"
"THE MONTGOMERY ACADEMY","2200","DAVID J. FARACE","3240 VAUGHN RD","MONTGOMERY","AL","36106","2725","334-272-8210","999-999-9999","dave_farace@montgomeryacademy.org"
"THE MONTGOMERY ACADEMY - LOWER SCHOOL","2201","MR ARCHIBALD DOUGLAS","3240 VAUGHN RD","MONTGOMERY","AL","36106","2725","334-272-8210","334-277-3240","douglas.a@montgomeryacademy.org"
"THE NET CHRISTIAN ACADEMY","2202","MR JOSEPH L FOLLETTE JR","1593 HUGHES RD STE D-121","MADISON","AL","35758","8919","256-651-8729","925-522-4887","pastorjoe@lovingthenet.com"
"ALABAMA WALDORF SCHOOL","2221","RANDY BROTHREN","1220 50TH ST S","BIRMINGHAM","AL","35222","3916","205-592-0541","205-592-0541","nonesupplied@noreply.com"
"THE NEIGHBORHOOD SCHOOL","2222","MS CARRIANN TOOMBS","26481 KENSINGTON PL STE A","DAPHNE","AL","36526","5122","251-786-1580",,"nonesupplied@noreply.com"
"THE WESTMINSTER SCHOOL AT OAK MOUNTAIN","2251","MS MAURA ELLEN BRYAN","5080 CAHABA VALLEY TRCE","BIRMINGHAM","AL","35242","3627","205-955-9694",,"nonesupplied@noreply.com"
"THREE RIVERS ACADEMY","2252","MRS NIKKI LEMASTER-BUTLER","445 COTTON GIN RD","MONTGOMERY","AL","36117","3558","334-517-1158","999-999-9999","threeriversboard@yahoo.com"
"TRAILBLAZER ACADEMY-ST MARY’S HOME","2291","MR NORMAN CARTER","4350 MOFFETT RD","MOBILE","AL","36618","1719","251-344-7733",,"nonesupplied@noreply.com"
"TRI COUNTY CHRISTIAN ACADEMY","2296","MR IKE THOMPSON","216 WALNUT ST","PRATTVILLE","AL","36067","2927","334-358-1193","334-358-1517","nonesupplied@noreply.com"
"TRINITY BAPTIST ACADEMY","2314","MR CURTIS COCHRAN","1701 CHILDHAVEN RAOD","CULLMAN","AL","35055","0000","256-737-0037","999-999-9999","nonesupplied@noreply.com"
"TRINITY CHRISTIAN ACADEMY","2330","TIMOTHY SNOW","1500 AIRPORT RD","OXFORD","AL","36203","2553","256-831-3333",,"tca@trinityoxford.org"
"TRINITY CHRISTIAN SCHOOL","2331","MS SHARON MILLER","1010 INDIA RD","OPELIKA","AL","36801","2820","334-745-2464","999-999-9999","tcsprincipal@bellsouth.net"
"TRINITY LUTHERAN SCHOOL","2340","MRS JOANN WHIGHAM","2668 BERKLEY AVE","MOBILE","AL","36617","1799","251-456-7960","999-999-9999","jwhigham@trinitylutheranmobile.org"
"TRINITY CHRISTIAN ACADEMY","2361","MRS ZSA ZSA COUCH","4201 NORDALE DR","MONTGOMERY","AL","36116","2300","334-409-2800",,"nonesupplied@noreply.com"
"TRUETT CHRISTIAN ACADEMY","2365","GAYLE C TRUETT","2037 EDINBURGH CT","MONTGOMERY","AL","36116","1310","334-834-7469","334-269-0117","nonesupplied@noreply.com"
"TRINITY PRESBYTERIAN SCHOOL","2370","ROBERT DONALD NEU","1700 E TRINITY BLVD","MONTGOMERY","AL","36106","2899","334-213-2100","334-213-2171","bneu@trinitywildcats.com"
"TURNING POINT","2379","MR ERIN BRADLEY","318A HAMER RD","OWENS CROSS ROADS","AL","35763","9612","256-725-7170","256-725-7169","nonesupplied@noreply.com"
"TUSCALOOSA ACADEMY","2380","DR BARRY A. PETERSON","420 RICE VALLEY RD N","TUSCALOOSA","AL","35406","2722","205-758-4462","999-999-9999","taknights@tuscaloosaacademy.org"
"UAB PSYCHIATRIC PROG HOSP SCH","2390","MELISSA MCKERLEY-OLIVER","1713 6TH AVENUE S","BIRMINGHAM","AL","35294","0001","205-934-4574","205-975-7391","mmckerley@uabmc.edu"
"UAB ENGEL SCHOOL","2391","DR LEE I. ASCHERMAN M.D.","1632 7TH AVE S","BIRMINGHAM","AL","35233","1711","205-934-5156","999-999-9999","nonesupplied@noreply.com"
"UNDER HIS WINGS COVER SCHOOL","2392","MS KRISTINE DUBIELAK","6535 COUNTY ROAD 51","FAYETTE","AL","35555","5942","205-904-8327","205-904-8327","nonesupplied@noreply.com"
"UMS-WRIGHT PREPARATORY SCH","2400","DR TONY W HAVARD","65 MOBILE ST","MOBILE","AL","36607","3140","251-479-6551","251-470-9050","thavard@ums-wright.org"
"VALLEY VIEW BAPTIST EDUCATION PROGRAM","2404","MS TONYA HENSON","7254 PRESIDENT ST","LEEDS","AL","35094","7819","205-699-7766","999-999-9999","nonesupplied@noreply.com"
"VALLEY HAVEN SCHOOL","2405","TONY EDMONDSON","PO BOX 416","VALLEY","AL","36854","0416","334-644-5900","334-644-5910","nonesupplied@noreply.com"
"WEEKDAY ENRICHMENT PROGRAM","2415","HARRIETTE WOODRING","2061 KENTUCKY AVE","VESTAVIA","AL","35216","1907","205-979-2415","205-978-6811","nonesupplied@noreply.com"
"VERITAS ACADEMY","2416","MR HANK AUSTIN","4011 LAKEWOOD DR","PHENIX CITY","AL","36867","2023","334-480-0389","334-298-4877","hank@aol.com"
"VICTORY BAPTIST SCHOOL","2417","MR JOE BYRD","PO BOX 1090","MILLBROOK","AL","36054","0024","334-285-5082","999-999-9999","nonesupplied@noreply.com"
"VICTORY CHRISTIAN ACADEMY","2421","MS SHIRLEY MCKINNEY","43800 HIGHWAY 25","VINCENT","AL","35178","6124","205-672-9400","999-999-9999","nonesupplied@noreply.com"
"VICTORY CHRISTIAN SCHOOL","2422","DAVID WEIR","PO BOX 710","PELL CITY","AL","35125","0710","205-338-2901","205-338-3916","dweir7@gmail.com"
"THE VILLAGE MONTESSORI SCHOOL","2425","SUSAN HARPER","231 E DRAKE AVE","AUBURN","AL","36830","3917","334-887-7726",,"nonesupplied@noreply.com"
"WALL HIGHWAY BAPTIST KINDERGARTEN","2427","MS PAULA ORTNER","6597 WALL TRIANA HWY","MADISON","AL","35757","7403","999-999-9999","999-999-9999","nonesupplied@noreply.com"
"WARRIOR ACADEMY","2430","JOHN E SANTORO, III","P.O. BOX 268, 920 WARRIOR ACADEMY","EUTAW","AL","35462","0268","205-372-3546","205-372-9744","nonesupplied@noreply.com"
"WEINACKER'S MONTESSORI SCH","2435","JOHN WEINACKER","227 HILLCREST RD","MOBILE","AL","36608","5308","334-344-8755","334-344-8755","nonesupplied@noreply.com"
"WEE CARE ACADEMY INC","2436","MS JANICE DANIELS","1813 4TH AVE N","BIRMINGHAM","AL","35203","2101","205-322-2229","999-999-9999","nonesupplied@noreply.com"
"WEBSTER CHRISTIAN SCHOOL","2451","MRS BROOKS MCCALLEY","PO BOX 530703","BIRMINGHAM","AL","35253","0703","205-951-5401","999-999-9999","websterchristian@bellsouth.net"
"WEST POINT PREP SCHOOL","2475","MS TINA MCMINN","140 COUNTY ROAD 1242","CULLMAN","AL","35057","6736","256-734-7505","999-999-9999","nonesupplied@noreply.com"
"WESTMINSTER CHRISTIAN ACADEMY","2480","MR CRAIG BOUVIER","237 JOHNS RD NW","HUNTSVILLE","AL","35806","1517","256-705-8000",,"information@wca-hsv.org"
"WESTBROOK CHRISTIAN SCHOOL","2490","MRS CYNTHIA G GREER","100 WESTMINSTER DR","RAINBOW CITY","AL","35906","3701","256-442-7457","999-999-9999","cgreer@westbrookchristian.org"
"WILCOX ACADEMY","2510","CHRISTOPHER S BURFORD","PO BOX 1149","CAMDEN","AL","36726","1149","334-682-9619",,"nonesupplied@noreply.com"
"WINEWOOD CHRISTIAN SCHOOL INC","2521","REV JOHN H DAVIS JR","2974 WINEWOOD RD","BIRMINGHAM","AL","35215","4198","205-853-9906","205-854-9629","winewoodschool@hotmail.com"
"WIREGRASS CHRISTIAN ACADEMY","2525","MRS JOAN B. HOWELL","209 W COLLEGE ST","ENTERPRISE","AL","36330","2916","334-393-8972","334-393-1465","nonesupplied@noreply.com"
"WOODLANDS EARLY CHILDHOOD ENRICHMENT CENTER","2531","MS DANA WIGGINS","8491 FOSHEE RD","BREWTON","AL","36426","6104","251-575-4071","251-575-4071","nonesupplied@noreply.com"
"WORKSHOPS INC","2535","JAMES E CRIM","4244 3RD AVE S","BIRMINGHAM","AL","35222","2008","205-592-9683","205-592-9687","jimcrim@workshopsinc.com"
"BIG COVE CHRISTIAN ACADEMY","3000","MS RACHEL WIEGAND","6354 HIGHWAY 431 S","OWENS CROSS ROADS","AL","35763","9210","256-518-9642","256-725-3179","rachelwiegand@juno.com"
"HARRIS EARLY LEARNING CENTER","3010","DR ROBBIE BLACK ROBERTS","1413 7TH AVE N","BIRMINGHAM","AL","35203","1808","205-252-5060","205-252-6628","robbieroberts@harriselc.org"
"BIRMINGHAM INSTITUTE CHURCH","3011","DR ELVIRITA R FINLEY","9825 BEAR CREEK RD HWY 43","STERRETT","AL","35147","0000","205-231-5500","205-231-5535","nonesupplied@noreply.com"
"FIRST MISSIONARY BAPTIST CHILD DEVELOPMENT CENTER","3030","MS NICOLE CAMPBELL","3509 BLUE SPRING RD NW","HUNTSVILLE","AL","35810","3458","256-852-6673","256-852-5975","joscruggs@fmbc.org"
"HOLY SPIRIT ELEMENTARY SCHOOL","3066","SR ELAINE SEBERA","711 JAMES I HARRISON JR PKWY E","TUSCALOOSA","AL","35405","3209","205-553-5606","999-999-9999","lcorona@holyspirit-al.com"
"KEYSTONE LEARNING","3080","MS LIBERTY S DUKE","PO BOX 837","NORTHPORT","AL","35476","0837","334-834-2484","334-262-5479","nonesupplied@noreply.com"
"MAYFAIR CHILD DEVELOPMENT CENTER","3090","NORMA ANDERSON","1095 CARL T JONES DR SE","HUNTSVILLE","AL","35802","1866","256-858-8692","999-999-9999","nonesupplied@noreply.com"
"ST CLAIR COUNTY DAY PROGRAM INC","3101","MR DAVID GRAY","PO BOX 1653","ASHVILLE","AL","35953","1653","205-594-7492","205-594-3258","david.gray@sccboe.org"
"THE MONTESSORI LEARNING CENTER","3110","MS BRENDA TACKETT","2334 PANSY ST SW","HUNTSVILLE","AL","35801","3803","256-534-6296","999-999-9999","brenda.tackett@knology.net"
"MONTESSORI SCHOOL OF DECATUR","3120","MS PEGGIE KILPATRICK","402 JOHNSTON ST SE","DECATUR","AL","35601","3008","256-355-7567","999-999-9999","nonesupplied@noreply.com"
"MONTESSORI SCHOOL OF HUNTSVILLE","3130","MS SUSAN J SMITH","15975 CHANEY THOMPSON RD SE","HUNTSVILLE","AL","35803","3939","256-881-3790","256-881-3188","mshadministrator@knology.net"
"THE GUIDING LIGHT FAMILY CARE CENTER","3139","MS GWEN BOYD","60 ROEBUCK DR","BIRMINGHAM","AL","35215","8037","205-838-1033","205-838-1331","nonesupplied@noreply.com"
"MOUNTAIN VIEW CHRISTIAN ACADEMY","3140","JONATHAN DALE AULTMAN","3665 HIGHWAY 73","BRYANT","AL","35958","0000","256-597-3467","256-597-3467","jaultman@mvcaschool.com"
"MOUNTAINVIEW BAPTIST SCHOOL","3141","MRS JUDY DICK","5568 CHALKVILLE RD","BIRMINGHAM","AL","35235","2170","205-854-2741","999-999-9999","nonesupplied@noreply.com"
"THE MURRAY SCHOOL AT WILMER HALL","3150","MRS MARGIE SUMLIN","3811 OLD SHELL RD","MOBILE","AL","36608","1317","251-342-4931","251-342-4466","msumlin@wilmerhall.org"
"OLD PATH CHRISTIAN SCHOOL","3180","MR JOEY POLSTON","1000 LEE ROAD 263","CUSSETA","AL","36852","3143","334-742-0144","999-999-9999","nonesupplied@noreply.com"
"PHENIX CHRISTIAN SCHOOL","3190","CECILIA E DRUMMONDS","PO BOX 1208","PHENIX CITY","AL","36868","1208","334-298-3588","334-298-3621","cdrummonds@firstagpc.org"
"J B SHELTON ACADEMY INC","3200","MS JANET L SHELTON","1050 HILLCREST RD STE B","MOBILE","AL","36695","4572","251-639-1311","501-642-4510","jbrooks711@bellsouth.net"
"VALLEY FELLOWSHIP CHRISTIAN ACADEMY","3220","MS PATTI SIMON","3616 HOLMES AVE NW","HUNTSVILLE","AL","35816","4112","256-533-5248","256-533-5253","psimon@valleyfellowship.com"
"VICTORY CHRISTIAN SCHOOL","3230","MS GAYLE GRIFFITH","20511 COUNTY ROAD 12 S","FOLEY","AL","36535","9206","334-943-7686","334-943-7687","nonesupplied@noreply.com"
"VICTORY CHRISTIAN SCHOOL","3231","MS CATHY TIDMORE","4204 HIGHWAY 29","ONEONTA","AL","35125","0000","205-237-5242","999-999-9999","ray.tidmore@yahoo.com"
"VINEMONT CHRISTIAN ACADEMY","3240","MR KENNETH TERRY","21325 US HIGHWAY 31","VINEMONT","AL","35179","5989","999-999-9999","999-999-9999","nonesupplied@noreply.com"
"WHITESBURG BAPTIST WEEKDAY","3250","MRS CINDY ABERCROMBIE","6806 WHITESBURG DR SE","HUNTSVILLE","AL","35802","2299","256-880-5313","256-880-5314","nonesupplied@noreply.com"
"WHITESBURG CHRISTIAN ACADEMY","3251","MRS TRACEY ELAINE THOENES","6806 WHITESBURG DR SE","HUNTSVILLE","AL","35802","2250","256-704-5678","999-999-9999","tracey.thoenes@wbccares.org"
"VON-LYN SCHOOL OF WEST ALABAMA INC.","3261","MS YVONNE MASSEY","PO BOX 20466","TUSCALOOSA","AL","35402","0466","205-342-0041","205-342-0029","nonesupplied@noreply.com"
"TRINITY SCHOOL","3270","MRS JOAN H QUICK","800 MONTCLAIR RD #209","BIRMINGHAM","AL","35213","1908","205-592-5753","999-999-9999","nonesupplied@noreply.com"
"EXPLORATORIUM ACADEMY","3290","DR MARY HILL LOWE","8449 CROSSLAND LOOP STE 109","MONTGOMERY","AL","36117","0917","334-279-9700","999-999-9999","marylowe@hillandloweeducationalservices.org"
"THE ARNOLD SCHOOL OF ALABAMA","4000","CYNTHIA M GARNER","4308 DOWNTOWNER LOOP N","MOBILE","AL","36609","5502","334-343-1700","334-343-1715","cgarner@thearnoldschool.com"
